,id,total_images,last_price,total_area,first_day_exposition,rooms,ceiling_height,floors_total,living_area,floor,is_apartment,studio,open_plan,kitchen_area,balcony,locality_name,airports_nearest,cityCenters_nearest,parks_around3000,parks_nearest,ponds_around3000,ponds_nearest,days_exposition,price_for_m2,fromcenter_category
14427,14427,13,3150000.0,45.0,2018-05-08T00:00:00,1,2.65,10.0,20.5,7,False,False,False,11.5,1,Санкт-Петербург,18585.0,22010.0,0.0,5000.0,2.0,402.0,248,70000,область
14428,14428,7,1799000.0,37.9,2018-02-01T00:00:00,1,2.7,3.0,20.3,2,False,False,False,5.5,1,Красное Село,38010.0,41435.0,0.0,5000.0,0.0,5000.0,135,47467,область
14430,14430,2,3500000.0,42.5,2018-09-22T00:00:00,2,2.75,5.0,28.0,5,False,False,False,6.1,0,Санкт-Петербург,16648.0,16556.0,0.0,5000.0,1.0,129.0,62,82352,в пределах города
14432,14432,0,4400000.0,49.2,2019-04-27T00:00:00,2,2.6,12.0,31.3,10,False,False,False,6.9,0,Санкт-Петербург,32529.0,13834.0,0.0,5000.0,0.0,5000.0,0,89430,в пределах города
14433,14433,6,3200000.0,42.3,2017-08-15T00:00:00,2,2.68,5.0,27.7,5,False,False,False,5.3,1,Петергоф,35977.0,31166.0,2.0,165.0,3.0,454.0,161,75650,область
14434,14434,6,5200000.0,62.0,2015-08-11T00:00:00,2,2.55,10.0,35.0,8,False,False,False,11.0,2,посёлок Шушары,12416.0,18203.0,0.0,5000.0,0.0,5000.0,415,83870,область
14435,14435,15,9990000.0,53.5,2017-11-23T00:00:00,2,2.74,5.0,27.6,4,False,False,False,10.0,0,Санкт-Петербург,25885.0,4460.0,3.0,415.0,1.0,803.0,57,186728,центр
14437,14437,9,4950000.0,51.0,2018-12-12T00:00:00,2,2.5,9.0,28.0,5,False,False,False,8.1,0,Санкт-Петербург,39650.0,12553.0,0.0,5000.0,0.0,5000.0,0,97058,в пределах города
14438,14438,9,5200000.0,49.0,2017-11-10T00:00:00,1,2.75,25.0,18.0,14,False,False,False,13.5,2,Санкт-Петербург,48012.0,15501.0,0.0,5000.0,0.0,5000.0,31,106122,в пределах города
14439,14439,0,5600000.0,67.2,2018-01-15T00:00:00,3,2.55,5.0,43.6,1,False,False,False,9.0,2,Сестрорецк,56793.0,33722.0,0.0,5000.0,2.0,270.0,60,83333,область
14440,14440,9,2756000.0,30.8,2017-05-05T00:00:00,1,2.75,5.0,17.6,3,False,False,False,6.3,0,Санкт-Петербург,27488.0,7756.0,0.0,5000.0,0.0,5000.0,7,89480,в пределах города
14441,14441,20,3650000.0,44.0,2017-09-14T00:00:00,2,2.5,9.0,27.0,7,False,False,False,6.3,0,Санкт-Петербург,51917.0,16518.0,0.0,5000.0,1.0,856.0,174,82954,в пределах города
14442,14442,14,5100000.0,55.3,2017-09-11T00:00:00,2,2.68,3.0,35.0,2,False,False,False,8.2,0,Павловск,19380.0,31533.0,1.0,522.0,1.0,639.0,134,92224,область
14443,14443,7,3800000.0,39.0,2019-01-26T00:00:00,1,2.65,10.0,20.0,8,False,False,False,10.7,0,Санкт-Петербург,16322.0,15118.0,1.0,507.0,0.0,5000.0,19,97435,в пределах города
14444,14444,15,3450000.0,36.0,2017-05-05T00:00:00,1,2.68,9.0,16.5,3,False,False,False,8.5,0,Санкт-Петербург,19546.0,21258.0,0.0,5000.0,1.0,552.0,130,95833,область
14445,14445,6,5700000.0,76.0,2017-07-20T00:00:00,4,2.55,9.0,49.0,1,False,False,False,6.3,0,Санкт-Петербург,33547.0,11856.0,0.0,5000.0,0.0,5000.0,348,75000,в пределах города
14446,14446,12,4190000.0,41.5,2016-07-05T00:00:00,2,2.5,5.0,27.1,1,False,False,False,5.7,0,Санкт-Петербург,15618.0,7646.0,0.0,5000.0,0.0,5000.0,730,100963,в пределах города
14448,14448,11,7800000.0,72.0,2018-07-04T00:00:00,3,2.7,6.0,34.5,6,False,False,False,23.5,1,Пушкин,18557.0,30710.0,0.0,5000.0,1.0,118.0,40,108333,область
14449,14449,10,4300000.0,41.0,2017-07-06T00:00:00,1,2.75,10.0,19.0,9,False,False,False,10.5,0,Санкт-Петербург,51663.0,16965.0,0.0,5000.0,0.0,5000.0,71,104878,в пределах города
14450,14450,6,8545000.0,63.71,2017-12-06T00:00:00,2,2.75,20.0,32.37,9,False,False,False,12.24,1,Санкт-Петербург,7651.0,14065.0,0.0,5000.0,0.0,5000.0,84,134123,в пределах города
14451,14451,18,5000000.0,59.8,2017-09-28T00:00:00,3,2.75,5.0,42.3,1,False,False,False,7.4,0,Санкт-Петербург,25701.0,14035.0,0.0,5000.0,0.0,5000.0,59,83612,в пределах города
14454,14454,9,7750000.0,71.0,2019-02-21T00:00:00,3,2.8,4.0,42.5,2,False,False,False,10.0,0,Сестрорецк,54148.0,35248.0,0.0,5000.0,0.0,5000.0,0,109154,область
14457,14457,5,5300000.0,53.5,2017-09-09T00:00:00,2,2.8,16.0,30.0,9,False,False,False,8.0,0,Санкт-Петербург,28643.0,12309.0,1.0,721.0,1.0,109.0,103,99065,в пределах города
14458,14458,20,4500000.0,38.8,2018-06-02T00:00:00,1,2.75,19.0,15.2,19,False,False,False,8.7,0,Санкт-Петербург,37781.0,14657.0,0.0,5000.0,0.0,5000.0,179,115979,в пределах города
14460,14460,20,3600000.0,35.5,2017-05-30T00:00:00,1,2.6,9.0,18.5,8,False,False,False,6.9,1,Санкт-Петербург,14212.0,13009.0,1.0,814.0,1.0,626.0,134,101408,в пределах города
14461,14461,5,6790000.0,58.0,2016-06-10T00:00:00,1,2.75,23.0,31.0,7,False,False,False,13.0,0,Санкт-Петербург,51520.0,15492.0,0.0,5000.0,1.0,525.0,12,117068,в пределах города
14462,14462,8,7900000.0,79.2,2018-04-24T00:00:00,3,2.68,23.0,52.0,7,False,False,False,12.4,0,посёлок Парголово,53148.0,19325.0,0.0,5000.0,0.0,5000.0,244,99747,область
14463,14463,7,3100000.0,45.0,2018-01-12T00:00:00,2,2.4,5.0,29.0,5,False,False,False,6.0,0,Колпино,26074.0,31861.0,2.0,231.0,2.0,371.0,11,68888,область
14464,14464,7,2550000.0,31.85,2019-01-11T00:00:00,1,2.5,5.0,16.0,2,False,False,False,6.0,1,посёлок Металлострой,26574.0,28286.0,0.0,5000.0,0.0,5000.0,78,80062,область
14467,14467,5,3990000.0,45.0,2015-08-31T00:00:00,2,2.75,9.0,27.9,4,False,False,False,8.2,2,Санкт-Петербург,36771.0,11086.0,0.0,5000.0,0.0,5000.0,729,88666,в пределах города
14468,14468,12,7400000.0,46.4,2019-04-08T00:00:00,1,2.7,7.0,22.1,7,False,False,False,12.3,0,Санкт-Петербург,16008.0,9027.0,0.0,5000.0,0.0,5000.0,0,159482,в пределах города
14469,14469,13,3500000.0,30.7,2018-09-07T00:00:00,1,2.57,9.0,17.8,8,False,False,False,6.3,0,Санкт-Петербург,36627.0,11088.0,0.0,5000.0,1.0,908.0,109,114006,в пределах города
14470,14470,10,4200000.0,50.1,2017-09-16T00:00:00,2,2.56,9.0,30.2,5,False,False,False,9.2,2,Санкт-Петербург,13543.0,16134.0,0.0,5000.0,2.0,660.0,223,83832,в пределах города
14471,14471,4,4115000.0,35.4,2018-01-01T00:00:00,1,2.75,16.0,15.6,8,False,False,False,10.7,2,Санкт-Петербург,30166.0,9014.0,0.0,5000.0,0.0,5000.0,337,116242,в пределах города
14472,14472,9,9500000.0,91.0,2016-06-22T00:00:00,2,3.26,5.0,46.0,2,False,False,False,19.0,0,Санкт-Петербург,24750.0,5434.0,0.0,5000.0,0.0,5000.0,665,104395,в пределах города
14473,14473,18,6850000.0,66.0,2019-04-17T00:00:00,3,2.6,5.0,41.0,1,False,False,False,9.5,0,Пушкин,15605.0,27759.0,3.0,556.0,3.0,153.0,0,103787,область
14474,14474,8,5100000.0,49.3,2017-07-14T00:00:00,1,2.75,8.0,19.5,3,False,False,False,13.6,0,Санкт-Петербург,42989.0,9356.0,0.0,5000.0,0.0,5000.0,111,103448,в пределах города
14476,14476,9,4000000.0,45.7,2018-10-03T00:00:00,2,2.5,9.0,28.2,5,False,False,False,8.2,1,Санкт-Петербург,36574.0,10889.0,1.0,661.0,0.0,5000.0,6,87527,в пределах города
14477,14477,10,4250000.0,35.0,2016-10-06T00:00:00,1,2.7,9.0,17.4,3,False,False,False,9.5,0,Санкт-Петербург,42499.0,9719.0,0.0,5000.0,0.0,5000.0,720,121428,в пределах города
14478,14478,14,10800000.0,74.2,2019-04-03T00:00:00,3,3.0,5.0,47.0,4,False,False,False,9.0,0,Санкт-Петербург,28104.0,7043.0,1.0,494.0,1.0,864.0,0,145552,в пределах города
14479,14479,10,4700000.0,40.0,2018-11-14T00:00:00,1,2.7,12.0,20.0,2,False,False,False,10.7,0,Санкт-Петербург,50801.0,14911.0,0.0,5000.0,0.0,5000.0,48,117500,в пределах города
14482,14482,11,4129000.0,69.0,2016-04-20T00:00:00,2,2.8,9.0,41.0,5,False,False,False,8.2,2,посёлок Шушары,19134.0,29754.0,0.0,5000.0,0.0,5000.0,413,59840,область
14483,14483,4,7580000.0,53.72,2017-05-05T00:00:00,2,2.8,24.0,29.21,2,False,False,False,10.52,0,Санкт-Петербург,9354.0,13149.0,1.0,541.0,1.0,333.0,38,141102,в пределах города
14484,14484,1,3400000.0,54.3,2017-11-16T00:00:00,2,2.68,2.0,30.2,2,False,False,False,7.1,0,посёлок Металлострой,24629.0,29217.0,0.0,5000.0,0.0,5000.0,45,62615,область
14485,14485,3,9900000.0,183.0,2017-02-09T00:00:00,5,2.83,14.0,112.0,4,False,False,False,14.0,5,Санкт-Петербург,10997.0,11082.0,0.0,5000.0,1.0,418.0,129,54098,в пределах города
14486,14486,8,3150000.0,29.0,2017-12-01T00:00:00,1,2.75,9.0,15.0,3,False,False,False,7.0,0,Санкт-Петербург,27767.0,12290.0,1.0,458.0,1.0,538.0,41,108620,в пределах города
14489,14489,9,7600000.0,61.0,2017-09-27T00:00:00,1,3.6,5.0,20.0,3,False,False,False,15.0,0,Санкт-Петербург,24147.0,3714.0,0.0,5000.0,3.0,541.0,450,124590,центр
14491,14491,5,5800000.0,45.0,2017-08-07T00:00:00,2,2.46,10.0,28.0,8,False,False,False,7.0,2,Санкт-Петербург,10254.0,13629.0,0.0,5000.0,0.0,5000.0,148,128888,в пределах города
14493,14493,6,5250000.0,56.8,2016-03-16T00:00:00,3,2.75,12.0,38.6,3,False,False,False,6.5,0,Санкт-Петербург,10455.0,12032.0,0.0,5000.0,0.0,5000.0,185,92429,в пределах города
14494,14494,15,17000000.0,104.0,2018-10-08T00:00:00,3,2.8,16.0,60.0,8,False,False,False,14.4,2,Санкт-Петербург,30712.0,8005.0,0.0,5000.0,2.0,247.0,0,163461,в пределах города
14495,14495,8,4480000.0,44.4,2018-10-22T00:00:00,2,2.55,5.0,30.0,3,False,False,False,6.5,0,Санкт-Петербург,45005.0,17243.0,0.0,5000.0,0.0,5000.0,58,100900,область
14496,14496,10,77000000.0,186.0,2018-11-14T00:00:00,3,2.75,13.0,59.7,12,False,False,False,39.1,0,Санкт-Петербург,39946.0,10720.0,1.0,2102.0,3.0,303.0,34,413978,в пределах города
14497,14497,14,5950000.0,72.8,2017-05-05T00:00:00,3,2.7,4.0,42.9,3,False,False,False,10.0,0,Пушкин,19488.0,34342.0,0.0,5000.0,0.0,5000.0,70,81730,область
14498,14498,6,32250000.0,374.6,2018-06-09T00:00:00,19,3.19,5.0,264.5,2,False,False,False,27.6,0,Санкт-Петербург,19497.0,3574.0,0.0,5000.0,2.0,548.0,114,86091,центр
14499,14499,0,10117500.0,92.8,2019-01-29T00:00:00,3,2.75,23.0,49.8,14,False,False,False,12.7,0,Санкт-Петербург,7201.0,13417.0,1.0,1199.0,0.0,5000.0,0,109024,в пределах города
14500,14500,8,4800000.0,45.0,2017-04-18T00:00:00,2,2.6,10.0,30.0,2,False,False,False,7.5,2,Санкт-Петербург,10254.0,13629.0,0.0,5000.0,0.0,5000.0,170,106666,в пределах города
14501,14501,12,2250000.0,33.0,2019-04-02T00:00:00,1,2.68,4.0,19.5,2,False,False,False,6.0,1,посёлок Сапёрный,34161.0,35873.0,0.0,5000.0,1.0,372.0,0,68181,область
14502,14502,4,3680000.0,36.0,2017-10-13T00:00:00,1,2.75,12.0,16.0,5,False,False,False,11.0,2,Санкт-Петербург,33749.0,14848.0,0.0,5000.0,2.0,400.0,102,102222,в пределах города
14503,14503,11,6850000.0,65.5,2017-08-03T00:00:00,2,2.65,15.0,39.2,13,False,False,False,10.6,2,Санкт-Петербург,27573.0,9436.0,1.0,714.0,0.0,5000.0,60,104580,в пределах города
14506,14506,4,2950000.0,33.3,2017-05-02T00:00:00,1,2.75,14.0,17.5,5,False,False,False,7.8,0,Санкт-Петербург,33444.0,11143.0,1.0,531.0,1.0,607.0,126,88588,в пределах города
14507,14507,18,10500000.0,73.5,2018-07-10T00:00:00,2,2.75,25.0,32.199997,13,False,False,False,14.9,2,Санкт-Петербург,13292.0,14847.0,0.0,5000.0,0.0,5000.0,0,142857,в пределах города
14509,14509,2,5700000.0,80.0,2016-05-19T00:00:00,3,2.6,27.0,47.0,19,False,False,False,11.0,1,посёлок Парголово,53325.0,19501.0,0.0,5000.0,1.0,654.0,96,71250,область
14510,14510,3,6864000.0,95.0,2018-10-12T00:00:00,6,2.5,15.0,75.0,3,False,False,False,13.0,0,Санкт-Петербург,15874.0,10680.0,0.0,5000.0,2.0,575.0,12,72252,в пределах города
14511,14511,10,5300000.0,62.6,2016-03-02T00:00:00,3,2.75,9.0,39.5,1,False,False,False,17.7,1,Санкт-Петербург,13533.0,16124.0,0.0,5000.0,0.0,5000.0,164,84664,в пределах города
14512,14512,5,3585000.0,34.26,2017-04-01T00:00:00,1,2.75,24.0,14.38,14,False,False,False,7.48,0,Санкт-Петербург,39180.0,16002.0,0.0,5000.0,1.0,930.0,610,104640,в пределах города
14514,14514,19,4999000.0,40.4,2018-04-03T00:00:00,1,3.2,23.0,20.0,23,False,False,False,9.0,2,Санкт-Петербург,51459.0,15468.0,0.0,5000.0,1.0,521.0,87,123737,в пределах города
14515,14515,6,2890000.0,26.0,2016-02-14T00:00:00,1,2.5,9.0,16.4,1,False,False,False,4.0,2,Санкт-Петербург,11041.0,14620.0,1.0,333.0,1.0,146.0,672,111153,в пределах города
14518,14518,9,4950000.0,54.4,2019-04-23T00:00:00,3,2.5,4.0,39.7,4,False,False,False,5.5,0,Пушкин,14344.0,26498.0,0.0,5000.0,0.0,5000.0,0,90992,область
14519,14519,17,17600000.0,112.0,2017-01-19T00:00:00,4,4.5,4.0,83.0,2,False,False,False,10.0,0,Санкт-Петербург,22794.0,1645.0,2.0,276.0,3.0,485.0,0,157142,самый центр
14520,14520,20,6000000.0,40.2,2018-10-27T00:00:00,1,2.75,6.0,16.8,4,False,False,False,12.3,0,Санкт-Петербург,49370.0,16257.0,1.0,320.0,0.0,5000.0,0,149253,в пределах города
14521,14521,10,7500000.0,65.9,2017-12-01T00:00:00,2,2.8,24.0,38.5,16,False,False,False,13.0,0,Санкт-Петербург,33665.0,14764.0,0.0,5000.0,0.0,5000.0,84,113808,в пределах города
14522,14522,15,6735600.0,88.8,2019-02-25T00:00:00,3,2.75,5.0,57.1,1,False,False,False,10.73,0,Санкт-Петербург,27380.0,6227.0,3.0,144.0,2.0,428.0,0,75851,в пределах города
14523,14523,14,8500000.0,80.0,2018-07-04T00:00:00,3,2.8,19.0,45.0,10,False,False,False,9.0,3,Санкт-Петербург,19964.0,13496.0,2.0,595.0,1.0,774.0,0,106250,в пределах города
14524,14524,12,4290000.0,51.0,2017-06-11T00:00:00,1,2.8,22.0,22.0,8,False,False,False,11.0,2,Санкт-Петербург,35715.0,9238.0,0.0,5000.0,1.0,293.0,8,84117,в пределах города
14525,14525,12,9000000.0,110.8,2017-09-11T00:00:00,4,2.7,12.0,68.0,12,False,False,False,12.6,2,Санкт-Петербург,34492.0,13956.0,0.0,5000.0,0.0,5000.0,380,81227,в пределах города
14527,14527,12,4777000.0,45.0,2018-10-31T00:00:00,2,2.75,5.0,27.3,1,False,False,False,7.2,0,Санкт-Петербург,48402.0,14962.0,1.0,590.0,1.0,857.0,100,106155,в пределах города
14528,14528,17,4600000.0,44.0,2019-03-07T00:00:00,2,2.75,9.0,27.4,9,False,False,False,6.7,0,Санкт-Петербург,12639.0,14733.0,0.0,5000.0,1.0,549.0,30,104545,в пределах города
14531,14531,10,4700000.0,45.4,2017-07-07T00:00:00,2,3.19,7.0,29.1,1,False,False,False,7.7,0,Санкт-Петербург,18796.0,3623.0,0.0,5000.0,3.0,590.0,95,103524,центр
14532,14532,15,2850000.0,32.0,2017-09-20T00:00:00,1,2.68,5.0,20.0,2,False,False,False,6.0,1,Санкт-Петербург,18503.0,17505.0,1.0,797.0,1.0,904.0,125,89062,область
14533,14533,12,7500000.0,76.0,2018-08-06T00:00:00,3,2.5,9.0,45.8,7,False,False,False,9.7,0,Санкт-Петербург,13102.0,15693.0,0.0,5000.0,2.0,843.0,0,98684,в пределах города
14534,14534,20,4100000.0,45.0,2016-03-13T00:00:00,2,2.55,5.0,31.0,5,False,False,False,6.0,1,Санкт-Петербург,14519.0,13060.0,0.0,5000.0,1.0,976.0,117,91111,в пределах города
14536,14536,11,4658000.0,43.0,2017-04-20T00:00:00,1,2.75,18.0,18.0,15,False,False,False,10.0,2,Санкт-Петербург,33368.0,14467.0,0.0,5000.0,1.0,896.0,123,108325,в пределах города
14538,14538,13,4099000.0,35.0,2018-07-30T00:00:00,1,2.7,17.0,18.0,3,False,False,False,11.0,0,Санкт-Петербург,35353.0,11254.0,0.0,5000.0,2.0,661.0,117,117114,в пределах города
14539,14539,5,35290000.0,116.0,2018-10-10T00:00:00,3,3.0,20.0,49.0,14,False,False,False,32.7,5,Санкт-Петербург,13341.0,8871.0,1.0,416.0,3.0,596.0,0,304224,в пределах города
14541,14541,10,6200000.0,89.62,2018-10-09T00:00:00,4,2.52,5.0,66.3,1,False,False,False,5.44,0,Санкт-Петербург,15061.0,11750.0,1.0,151.0,1.0,491.0,108,69180,в пределах города
14542,14542,17,5100000.0,55.0,2019-01-28T00:00:00,2,2.55,9.0,31.0,8,False,False,False,8.0,2,Санкт-Петербург,32804.0,13887.0,0.0,5000.0,0.0,5000.0,0,92727,в пределах города
14543,14543,16,10300000.0,84.0,2017-08-06T00:00:00,3,2.75,25.0,42.0,23,False,False,False,13.0,0,Санкт-Петербург,33519.0,14618.0,0.0,5000.0,1.0,923.0,74,122619,в пределах города
14545,14545,10,7390000.0,66.0,2017-06-26T00:00:00,2,2.75,15.0,34.3,13,False,False,False,9.0,1,Санкт-Петербург,13665.0,12398.0,1.0,737.0,0.0,5000.0,29,111969,в пределах города
14546,14546,20,6580000.0,60.0,2018-02-20T00:00:00,2,2.7,25.0,31.9,4,False,False,False,12.1,2,Санкт-Петербург,21460.0,16788.0,0.0,5000.0,1.0,170.0,112,109666,в пределах города
14547,14547,20,5980000.0,52.0,2019-03-03T00:00:00,2,2.7,12.0,30.0,3,False,False,False,7.5,0,Санкт-Петербург,36361.0,13238.0,0.0,5000.0,1.0,659.0,0,115000,в пределах города
14548,14548,13,9970000.0,111.9,2017-11-15T00:00:00,3,2.75,10.0,65.9,4,False,False,False,15.6,0,Санкт-Петербург,29791.0,12652.0,0.0,5000.0,1.0,815.0,50,89097,в пределах города
14549,14549,14,8600000.0,69.2,2018-09-11T00:00:00,2,2.8,5.0,29.8,5,False,False,False,24.7,1,Санкт-Петербург,38498.0,13395.0,0.0,5000.0,1.0,564.0,107,124277,в пределах города
14550,14550,7,2050000.0,29.7,2016-05-16T00:00:00,1,2.5,5.0,17.0,1,False,False,False,5.0,0,Ломоносов,48717.0,36998.0,0.0,5000.0,2.0,136.0,522,69023,область
14553,14553,13,4130000.0,66.0,2016-02-27T00:00:00,3,2.75,9.0,48.0,5,False,False,False,6.0,1,Санкт-Петербург,51844.0,16526.0,0.0,5000.0,1.0,941.0,147,62575,в пределах города
14554,14554,7,3150000.0,41.8,2017-04-30T00:00:00,2,2.5,5.0,26.0,4,False,False,False,6.4,0,Санкт-Петербург,23105.0,17657.0,0.0,5000.0,0.0,5000.0,35,75358,область
14555,14555,14,4200000.0,40.12,2018-04-01T00:00:00,1,2.75,16.0,17.0,12,False,False,False,12.5,0,Санкт-Петербург,43642.0,9496.0,0.0,5000.0,0.0,5000.0,208,104685,в пределах города
14556,14556,20,5400000.0,60.0,2018-06-26T00:00:00,3,2.5,9.0,39.0,7,False,False,False,6.3,0,Санкт-Петербург,50421.0,14775.0,0.0,5000.0,0.0,5000.0,80,90000,в пределах города
14557,14557,8,3700000.0,45.0,2017-06-20T00:00:00,2,2.5,5.0,21.0,4,False,False,False,7.3,0,Петергоф,45547.0,48972.0,0.0,5000.0,0.0,5000.0,45,82222,область
14558,14558,17,5200000.0,54.0,2017-06-03T00:00:00,2,2.55,7.0,30.0,6,False,False,False,8.2,0,Санкт-Петербург,27726.0,9632.0,0.0,5000.0,2.0,104.0,84,96296,в пределах города
14559,14559,5,7602000.0,84.0,2018-01-01T00:00:00,3,2.75,12.0,46.6,6,False,False,False,18.9,5,Сестрорецк,59377.0,36307.0,1.0,88.0,2.0,140.0,112,90500,область
14560,14560,7,4500000.0,37.0,2019-04-18T00:00:00,1,2.6,12.0,18.4,8,False,False,False,7.0,1,Санкт-Петербург,11978.0,12931.0,1.0,632.0,1.0,707.0,7,121621,в пределах города
14561,14561,4,7700000.0,45.0,2019-04-22T00:00:00,1,3.0,9.0,22.0,2,False,False,False,10.0,0,Санкт-Петербург,32079.0,5038.0,0.0,5000.0,3.0,537.0,7,171111,в пределах города
14562,14562,15,6200000.0,72.8,2016-05-06T00:00:00,3,2.75,7.0,45.3,3,False,False,False,6.6,0,Санкт-Петербург,31837.0,5308.0,2.0,350.0,3.0,431.0,307,85164,в пределах города
14563,14563,12,6890000.0,48.0,2017-09-20T00:00:00,2,2.6,25.0,27.0,13,False,False,False,9.0,1,Санкт-Петербург,7026.0,13242.0,1.0,842.0,0.0,5000.0,566,143541,в пределах города
14564,14564,10,4500000.0,48.9,2018-02-01T00:00:00,2,2.5,9.0,30.1,5,False,False,False,6.2,0,Санкт-Петербург,51060.0,16892.0,0.0,5000.0,0.0,5000.0,320,92024,в пределах города
14567,14567,11,10400000.0,99.4,2018-06-20T00:00:00,3,3.19,5.0,76.0,2,False,False,False,12.3,0,Санкт-Петербург,24298.0,4865.0,3.0,454.0,0.0,5000.0,59,104627,центр
14569,14569,16,8750000.0,65.0,2019-03-21T00:00:00,2,2.65,17.0,32.0,3,False,False,False,11.0,1,Санкт-Петербург,35452.0,15458.0,0.0,5000.0,1.0,998.0,19,134615,в пределах города
14570,14570,11,7100000.0,90.9,2017-01-23T00:00:00,4,3.04,6.0,61.2,1,False,False,False,9.4,0,Санкт-Петербург,30491.0,4321.0,1.0,68.0,1.0,207.0,0,78107,центр
14571,14571,9,4900000.0,55.0,2016-03-17T00:00:00,2,2.75,12.0,31.4,10,False,False,False,10.0,2,Санкт-Петербург,49410.0,16296.0,1.0,192.0,0.0,5000.0,140,89090,в пределах города
14573,14573,9,4150000.0,50.0,2019-04-11T00:00:00,2,2.55,9.0,30.0,7,False,False,False,7.0,2,Колпино,25985.0,31772.0,0.0,5000.0,0.0,5000.0,0,83000,область
14574,14574,9,3950000.0,37.31,2017-01-25T00:00:00,1,2.5,5.0,22.7,2,False,False,False,7.41,2,Санкт-Петербург,15049.0,13589.0,1.0,498.0,1.0,130.0,144,105869,в пределах города
14575,14575,7,5800000.0,72.0,2015-10-25T00:00:00,3,2.6,9.0,46.0,3,False,False,False,8.0,1,Санкт-Петербург,24198.0,11210.0,1.0,341.0,0.0,5000.0,350,80555,в пределах города
14576,14576,7,9500000.0,98.5,2016-05-27T00:00:00,3,3.1,7.0,49.6,7,False,False,False,12.1,0,Санкт-Петербург,27016.0,5718.0,1.0,413.0,1.0,217.0,912,96446,в пределах города
14577,14577,12,2850000.0,43.5,2018-03-06T00:00:00,2,2.5,3.0,26.5,2,False,False,False,5.4,0,Ломоносов,48204.0,51629.0,0.0,5000.0,0.0,5000.0,114,65517,область
14578,14578,15,7600000.0,81.0,2018-07-16T00:00:00,3,2.6,10.0,49.0,5,False,False,False,11.0,0,Санкт-Петербург,33205.0,12109.0,0.0,5000.0,0.0,5000.0,43,93827,в пределах города
14581,14581,12,7900000.0,91.0,2016-08-05T00:00:00,3,2.77,22.0,48.0,21,False,False,False,14.5,1,Санкт-Петербург,30635.0,11299.0,1.0,594.0,1.0,797.0,130,86813,в пределах города
14582,14582,8,16800000.0,78.0,2016-06-17T00:00:00,2,3.0,5.0,34.0,3,False,False,False,10.0,1,Санкт-Петербург,21951.0,1365.0,1.0,288.0,2.0,39.0,90,215384,самый центр
14583,14583,1,8700000.0,80.3,2017-08-05T00:00:00,3,2.5,14.0,46.9,10,False,False,False,8.7,4,Санкт-Петербург,9767.0,10318.0,1.0,615.0,0.0,5000.0,54,108343,в пределах города
14584,14584,12,4350000.0,37.0,2016-10-05T00:00:00,1,2.75,16.0,15.2,8,False,False,False,9.8,0,Санкт-Петербург,34324.0,14192.0,0.0,5000.0,0.0,5000.0,564,117567,в пределах города
14585,14585,4,4852000.0,41.1,2016-04-26T00:00:00,1,2.75,10.0,17.9,1,False,False,False,10.0,0,Санкт-Петербург,24329.0,5955.0,0.0,5000.0,2.0,520.0,92,118053,в пределах города
14586,14586,7,20851478.0,165.2,2018-02-15T00:00:00,3,3.0,19.0,59.8,19,False,False,False,13.4,0,Санкт-Петербург,18971.0,4563.0,0.0,5000.0,1.0,825.0,0,126219,центр
14587,14587,4,3600000.0,45.4,2018-08-16T00:00:00,2,2.55,5.0,29.0,5,False,False,False,6.0,0,Санкт-Петербург,11746.0,8963.0,1.0,490.0,0.0,5000.0,4,79295,в пределах города
14589,14589,0,3080000.0,45.0,2016-06-22T00:00:00,2,2.68,5.0,27.0,4,False,False,False,5.5,0,Ломоносов,48834.0,52259.0,0.0,5000.0,2.0,669.0,45,68444,область
14591,14591,20,29000000.0,327.2,2017-11-15T00:00:00,6,2.68,4.0,177.3,4,False,False,False,27.1,0,Санкт-Петербург,53531.0,18024.0,0.0,5000.0,2.0,194.0,274,88630,область
14595,14595,11,9200000.0,98.0,2017-01-26T00:00:00,3,2.8,13.0,53.4,1,False,False,False,12.0,0,Санкт-Петербург,14482.0,15254.0,1.0,602.0,0.0,5000.0,420,93877,в пределах города
14597,14597,13,4500000.0,65.6,2017-11-20T00:00:00,3,2.68,5.0,39.9,4,False,False,False,8.7,0,Павловск,22705.0,34858.0,0.0,5000.0,2.0,154.0,208,68597,область
14598,14598,6,2860000.0,30.7,2016-07-04T00:00:00,1,2.68,5.0,15.3,3,False,False,False,8.5,0,Петергоф,40019.0,32700.0,0.0,5000.0,0.0,5000.0,79,93159,область
14599,14599,20,5600000.0,78.2,2018-01-22T00:00:00,3,2.76,5.0,47.6,4,False,False,False,11.8,4,Петергоф,36896.0,40311.0,0.0,5000.0,0.0,5000.0,149,71611,область
14601,14601,17,5700000.0,44.0,2019-04-24T00:00:00,2,2.5,5.0,28.0,2,False,False,False,5.0,0,Санкт-Петербург,11053.0,11382.0,1.0,981.0,1.0,941.0,0,129545,в пределах города
14602,14602,14,8270000.0,104.4,2017-02-16T00:00:00,4,3.1,5.0,77.0,3,False,False,False,10.0,0,Санкт-Петербург,23300.0,2841.0,1.0,234.0,1.0,537.0,576,79214,центр
14604,14604,12,4999000.0,58.0,2017-04-06T00:00:00,2,2.75,5.0,33.8,4,False,False,False,8.5,0,Санкт-Петербург,17991.0,6627.0,0.0,5000.0,0.0,5000.0,17,86189,в пределах города
